"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77003,78.9,percent,75.1,82.7,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77003,77.5,percent,73.5,81.5,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77003,73.1,percent,68.2,78.0,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77003,71.1,percent,66.1,76.1,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77003,69.7,percent,65.2,74.2,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77003,68.2,percent,63.6,72.8,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77003,63.1,percent,59.1,67.1,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77003,62.0,percent,57.4,66.6,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77004,91.8,percent,90.3,93.3,19752,,18792,20712,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77004,89.7,percent,88.2,91.2,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77004,88.2,percent,86.3,90.1,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77004,88.3,percent,86.5,90.1,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77004,87.5,percent,85.2,89.8,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77004,85.8,percent,84.1,87.5,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77004,84.2,percent,81.6,86.8,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77004,82.9,percent,80.9,84.9,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77004,82.1,percent,79.9,84.3,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77005,98.6,percent,97.7,99.5,17528,,16966,18090,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77005,98.4,percent,97.4,99.4,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77005,98.3,percent,97.3,99.3,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77005,98.4,percent,97.5,99.3,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77005,98.4,percent,97.4,99.4,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77005,99.1,percent,98.6,99.6,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77005,98.4,percent,97.6,99.2,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77005,98.3,percent,97.5,99.1,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77005,98.2,percent,97.5,98.9,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77006,96.7,percent,95.2,98.2,17614,,16797,18431,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77006,96.8,percent,95.5,98.1,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77006,97.1,percent,95.8,98.4,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77006,96.7,percent,95.4,98.0,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77006,96.3,percent,94.8,97.8,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77006,97.3,percent,96.3,98.3,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77006,96.6,percent,95.2,98.0,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77006,95.0,percent,93.4,96.6,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77006,94.7,percent,93.0,96.4,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77007,97.5,percent,96.5,98.5,31410,,30159,32661,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77007,96.7,percent,95.7,97.7,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77007,95.5,percent,94.3,96.7,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77007,94.7,percent,93.4,96.0,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77007,92.7,percent,91.4,94.0,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77007,91.2,percent,89.1,93.3,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77007,90.5,percent,88.3,92.7,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77007,88.8,percent,86.7,90.9,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77007,86.8,percent,84.4,89.2,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77008,93.4,percent,91.9,94.9,25565,,24569,26561,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77008,93.0,percent,91.5,94.5,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77008,93.0,percent,91.9,94.1,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77008,92.7,percent,91.5,93.9,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77008,91.1,percent,89.5,92.7,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77008,89.7,percent,88.0,91.4,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77008,88.5,percent,86.6,90.4,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77008,87.0,percent,84.7,89.3,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77008,85.1,percent,83.0,87.2,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77009,74.4,percent,72.0,76.8,19067,,18321,19813,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77009,73.3,percent,70.8,75.8,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77009,70.2,percent,68.1,72.3,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77009,69.7,percent,67.1,72.3,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77009,68.6,percent,66.3,70.9,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77009,68.3,percent,66.3,70.3,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77009,66.5,percent,63.9,69.1,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77009,66.4,percent,63.6,69.2,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77009,65.3,percent,63.0,67.6,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77010,100.0,percent,95.2,104.8,865,,646,1084,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77010,100.0,percent,95.3,104.7,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77010,98.7,percent,96.5,100.9,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77010,98.7,percent,96.5,100.9,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77010,98.6,percent,96.4,100.8,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77010,98.4,percent,95.9,100.9,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77010,98.2,percent,95.2,101.2,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77010,100.0,percent,88.2,111.8,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77010,100.0,percent,79.5,120.5,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77011,53.0,percent,49.0,57.0,5974,,5427,6521,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77011,48.8,percent,44.2,53.4,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77011,50.2,percent,45.9,54.5,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77011,47.5,percent,43.5,51.5,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77011,45.8,percent,40.7,50.9,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77011,43.5,percent,38.8,48.2,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77011,43.0,percent,38.7,47.3,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77011,42.8,percent,38.6,47.0,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77011,42.0,percent,38.4,45.6,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77012,51.4,percent,47.4,55.4,6452,,5899,7005,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77012,47.6,percent,43.1,52.1,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77012,46.7,percent,43.3,50.1,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77012,44.5,percent,40.9,48.1,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77012,47.9,percent,44.5,51.3,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77012,48.9,percent,45.0,52.8,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77012,48.8,percent,46.0,51.6,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77012,47.5,percent,43.9,51.1,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77012,46.3,percent,42.6,50.0,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77013,61.2,percent,56.8,65.6,7137,,6441,7833,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77013,58.1,percent,53.7,62.5,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77013,58.2,percent,54.5,61.9,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77013,57.4,percent,54.0,60.8,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77013,55.7,percent,51.2,60.2,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77013,55.1,percent,51.0,59.2,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77013,58.0,percent,53.8,62.2,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77013,56.8,percent,52.1,61.5,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77013,56.9,percent,52.5,61.3,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77014,79.6,percent,76.1,83.1,17864,,16614,19114,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77014,80.8,percent,77.9,83.7,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77014,76.5,percent,73.1,79.9,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77014,75.6,percent,72.2,79.0,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77014,74.5,percent,71.0,78.0,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77014,74.6,percent,71.2,78.0,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77014,74.9,percent,71.8,78.0,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
